The Thunder Rolls,3:45,Garth Brooks,No Fences,Country,
New Way To Fly,3:55,Garth Brooks,No Fences,Country,
Two Of A Kind Workin On A Full House,2:33,Garth Brooks,No Fences,Country,
Victim Of The Game,3:07,Garth Brooks,No Fences,Country,
Friends In Low Places,4:20,Garth Brooks,No Fences,Country,
Wild Horses,3:10,Garth Brooks,No Fences,Country,
Unanswered Prayers,3:25,Garth Brooks,No Fences,Country,
Same Old Story,2:53,Garth Brooks,No Fences,Country,
Mr. Blue,3:18,Garth Brooks,No Fences,Country,
Wolves,4:09,Garth Brooks,No Fences,Country,
